PSA,location,latitude,longitude,zone
47,Schildweg / Calsowstraße,51.5306021,9.9429406,37005
48,Schildweg,51.5293711,9.9406184,37005
49,Schildweg,51.5293711,9.9406184,37005
50,Calsowstraße,51.5309062,9.9453205,37005
51,Hainholzweg,51.5333389,9.9477433,37005
52,Hainholzweg,51.5333389,9.9477433,37005
53,Platz der Göttinger Sieben,51.5406298,9.9355383,37204
54,Platz der Göttinger Sieben,51.5406298,9.9355383,37204
55,Platz der Göttinger Sieben,51.5406298,9.9355383,37204
58,Walkemühlenweg,51.5269978,9.9346413,37005
59,Walkemühlenweg,51.5269978,9.9346413,37005
60,Walkemühlenweg,51.5269978,9.9346413,37005
61,Stegemühlenweg,51.5223258,9.936954171010644,37005
62,Stegemühlenweg,51.5223258,9.936954171010644,37005
63,Felix-Klein-Straße,51.5271125,9.9354308,37005
64,Riemannstraße,51.5257775,9.9367063,37005
65,Riemannstraße,51.5257775,9.9367063,37005
66,Riemannstraße,51.5257775,9.9367063,37005
67,Lotzestraße,51.5286342,9.9341902,37005
68,Lotzestraße,51.5286342,9.9341902,37005
69,Böttingerstraße,51.52703015,9.929568271256683,37005
70,Böttingerstraße / Bunsenstraße,51.52703015,9.929568271256683,37005
71,Böttingerstraße,51.52703015,9.929568271256683,37005
72,Bunsenstraße,51.52703015,9.929568271256683,37005
73,Bunsenstraße,51.52703015,9.929568271256683,37005
75,Geiststraße,51.5340891,9.928669,37001
76,Neustadt,51.5333284,9.9298912,37001
77,Hospitalstraße,51.5300542,9.9330228,37001
78,Bürgerstraße / Juzi,51.5292048,9.9330626,37105
79,Bürgerstraße / Juzi,51.5292048,9.9330626,37105
80,Maschmühlenweg,51.54476315,9.924276406597649,37005
81,Maschmühlenweg,51.54476315,9.924276406597649,37005
82,Maschmühlenweg,51.54476315,9.924276406597649,37005
83,Maschmühlenweg,51.54476315,9.924276406597649,37005
84,Bonifatiusschule - 1,51.529333199999996,9.935659877364444,37106
85,Bonifatiusschule - 2,51.5309202,9.9403005,37106
86,M-P-G / Sporthalle,51.5375846,9.9407806,37205
88,Am Theater 2,51.53809825,9.942993000000001,37001
89,Goßlerstraße,51.5415933,9.9378142,37206
90,Goßlerstraße,51.5415933,9.9378142,37206
91,Goßlerstraße,51.5415933,9.9378142,37206
92,Voigt-Realschule,51.5313649,9.9279618,37107
93,FKG Bürgerstraße 36,51.52878,9.9315628,37207
94,Friedrichstraße,51.5340081,9.9384327,37001
95,Landkreis,51.5328328,9.9351811,37208
97,Bahnhof-Ost,51.53673295,9.928201242661054,37108
98,Bahnhof-Ost,51.53673295,9.928201242661054,37108
99,Justizbehörden,51.5376746,9.9302981,37109
100,Wiesenstraße,51.5294886,9.9292343,37005
101,Wiesenstraße,51.5294886,9.9292343,37005
102,Wiesenstraße / Marienstraße,51.5289932,9.9275775,37005
103,Lilientalstraße,51.528233,9.9301132,37005
104,Cramerstraße,51.5280818,9.9291548,37005
105,Jahnstraße,51.5256423,9.9292608,37005
106,Rosdorfer Weg / Marienstraße,51.531168,9.9262991,37005
107,Marienstraße,51.5312698,9.9271853,37005
108,Marienstraße,51.5312698,9.9271853,37005
109,Rosdorfer Weg,51.5288698,9.9258806,37005
110,Rosdorfer Weg / Hasengraben,51.5317705,9.9264097,37005
111,Rosdorfer Weg,51.5288698,9.9258806,37005
112,Rosdorfer Weg,51.5288698,9.9258806,37005
113,Brauweg,51.526729950000004,9.925700045330554,37005
114,Brauweg,51.526729950000004,9.925700045330554,37005
115,Breymannstraße,51.5253629,9.9280197,37005
116,Am Hasengraben,51.5327505,9.924078,37005
117,Am Hasengraben / Gartetalbahnhof,51.5327505,9.924078,37005
119,Schiefer Weg / Gartetalbahnhof,51.5305032,9.9220158,37005
121,Schiefer Weg / Klinkerfuesstraße,51.5308689,9.9239186,37005
122,Klinkerfuesstraße,51.5294369,9.9243969,37005
123,Klinkerfuesstraße,51.5294369,9.9243969,37005
124,Leinestraße,51.5306496,9.9228722,37005
125,Leinestraße / Eisenbahnstraße,51.5294181,9.9232662,37005
126,Leinestraße,51.5306496,9.9228722,37005
128,Eisenbahnstraße,51.5286819,9.9227261,37005
209,Bühlstraße,51.5351817,9.9420016,37005
210,Bühlstraße,51.5351817,9.9420016,37005
211,Bühlstraße,51.5351817,9.9420016,37005
212,Bühlstraße,51.5351817,9.9420016,37005
213,Wöhlerstraße,51.5377498,9.9414317,37005
214,Wöhlerstraße,51.5377498,9.9414317,37005
215,Wilhelm-Weber-Straße,51.5386917,9.9400539,37005
216,Wilhelm-Weber-Straße,51.5386917,9.9400539,37005
217,Wilhelm-Weber-Straße,51.5386917,9.9400539,37005
218,Wilhelm-Weber-Straße,51.5386917,9.9400539,37005
219,Wilhelm-Weber-Straße,51.5386917,9.9400539,37005
220,Hansenstraße,51.5382261,9.9449526,37005
221,Hansenstraße,51.5382261,9.9449526,37005
222,Hansenstraße,51.5382261,9.9449526,37005
223,Hansenstraße,51.5382261,9.9449526,37005
224,Am Goldgraben,51.5382094,9.9435816,37005
225,Planckstraße,51.5367064,9.9436729,37005
226,Baurat-Gerber-Straße,51.5359061,9.9419068,37005
230,Rathaus – Tiefgarage U1,51.5281644,9.940556700074943,37203
231,Rathaus – Tiefgarage U2,51.5281644,9.940556700074943,37203
240,Hermann-Föge-Weg 1,51.5399222,9.9473021,37005
241,Hermann-Föge-Weg 2,51.53990075,9.94798852054878,37005
242,Hermann-Föge-Weg 3,51.540097149999994,9.947269220438933,37005
243,Wilhelm-Weber-Straße,51.5386917,9.9400539,37005
244,Wilhelm-Weber-Straße,51.5386917,9.9400539,37005
245,Wilhelm-Weber-Straße,51.5386917,9.9400539,37005
246,Am Goldgraben,51.5382094,9.9435816,37005
247,Am Goldgraben,51.5382094,9.9435816,37005
248,Dahlmannstraße,51.5376165,9.9492215,37005
249,Planckstraße,51.5367064,9.9436729,37005
300,Am Papenberg 1,51.55458125,9.946845157644983,37010
301,Am Papenberg 2,51.554479799999996,9.946213730930541,37010
302,Zimmermannstraße 6,51.5532618,9.9422636,37010
303,Zimmermannstraße 1,51.5544862,9.942412064069591,37010
304,Zimmermannstraße 2,51.5527106,9.94074341564533,37010
305,Zimmermannstraße 3,51.5536032,9.942167802450706,37010
306,Zimmermannstraße 4,51.553176199999996,9.945764544453922,37010
307,Zimmermannstraße 5,51.5536032,9.942167802450706,37010
308,Arndtstraße 1,51.5465227,9.9318931,37005
309,Arndtstraße 2,51.5462008,9.93202295,37005
310,Arndtstraße 3,51.5465436,9.9320774,37005
311,Emilienstraße 1,51.5451787,9.9324662,37005
312,Emilienstraße 2,51.544911299999995,9.932462500000003,37005
313,Annastraße 1,51.5435632,9.9349007,37005
314,Annastraße 2,51.54357215,9.935371169613415,37005
315,Annastraße 3,51.5441104,9.933957249025575,37005
316,Goßlerstraße 1,51.539918799999995,9.93843532694175,37005
317,Goßlerstraße 2,51.539431199999996,9.939391469117648,37005
318,Goßlerstraße 3,51.540045,9.938347080147595,37005
319,Goßlerstraße 4,51.539677999999995,9.939292732705301,37005
320,Goßlerstraße 5,51.54012195,9.937935012243287,37005
321,Christophorusweg,51.5491129,9.9364288,37005
322,Albrecht--Haller-Str 1,51.5471936,9.9373764,37005
323,Albrecht--Haller-Str 2,51.546936849999994,9.935997678348443,37005
324,Bergenstraße 1,51.5459119,9.9383763,37005
325,Bergenstraße 2,51.5461016,9.9383954,37005
326,Beyerstraße,51.5455466,9.9378526,37005
328,Humboldtallee 1,51.5394917,9.935947053127183,37008
329,Humboldtallee 2,51.54017615,9.942320976295896,37008
330,Humboldtallee 3,51.5417624,9.9400325,37008
331,Humboldtallee 4,51.5402503,9.942281964363204,37008
332,Humboldtallee 5,51.54007405,9.941649252146027,37008
333,Nikolausberger Weg 1,51.5394099,9.9403036,37008
334,Nikolausberger Weg 2,51.5400254,9.9429721,37008
335,Nikolausberger Weg 3,51.5385621,9.9348504,37008
336,Nikolausberger Weg 4,51.5409893,9.945025,37008
337,Nikolausberger Weg 5,51.5411914,9.9458344,37008
338,Nikolausberger Weg 6,51.5415719,9.9462162,37008
339,Nikolausberger Weg 7,51.5421502,9.947431,37008
340,Nikolausberger Weg 8,51.5425506,9.9482722,37008
350,Waldweg 1,51.54102195,9.944144552127362,37009
351,Waldweg 2,51.5412076,9.9446083,37009
352,Waldweg 3,51.5412566125,9.94429383803184,37009
353,Waldweg 4,51.5412485,9.9445886,37009
354,Waldweg 5,51.5415484,9.9438339,37009
355,Kreuzbergring 4,51.542433,9.9333217982612,37008
356,Kreuzbergring 5,51.54296495,9.933680800000001,37008
357,Kreuzbergring 1,51.5428469,9.933296110483035,37008
358,Kreuzbergring 2,51.542318800000004,9.932971749642508,37008
359,Kreuzbergring 3,51.5428976,9.933473362032966,37008
360,Von - Siebold- Straße 1,51.5459938,9.9435231,37008
361,Von - Siebold- Straße 2,51.5464718,9.943674399999999,37008
362,Von - Siebold- Straße 3,51.54566525,9.942838399015274,37008
